set,rally,frame_num,time,hit_area,hit_x,hit_y,landing_area,landing_x,landing_y,lose_reason,getpoint_player,type,hitting
1,1,13,00:00:00.43376666666666663,A3,312,902,A3,312.0,904.0,,,,A
1,1,24,00:00:00.8008000000000001,A3,312,904,A3,312.0,904.0,,,,B
1,1,36,00:00:01.2012,A3,312,904,A3,172.0,876.0,,,,A
1,1,46,00:00:01.5348666666666668,A3,172,876,A3,312.0,906.0,出界,A,,B
1,2,60,00:00:02.002,A3,312,906,A2,156.0,780.0,,,,A
1,2,72,00:00:02.4024,A2,156,780,A1,234.0,546.0,,,,B
1,2,100,00:00:03.3366666666666664,A1,234,546,A3,312.0,904.0,,,,A
1,2,110,00:00:03.6703333333333337,A3,312,904,A3,312.0,904.0,,,,B
1,2,122,00:00:04.070733333333334,A3,312,904,A2,276.0,686.0,,,,A
1,2,133,00:00:04.437766666666667,A2,276,686,B2,330.0,776.0,,,,B
1,2,143,00:00:04.771433333333333,B2,330,776,A3,312.0,904.0,,,,A
1,2,158,00:00:05.271933333333333,A3,312,904,A2,154.0,790.0,,,,B
1,2,174,00:00:05.8058000000000005,A2,154,790,A2,172.0,666.0,,,,A
1,2,201,00:00:06.7067,A2,172,666,A3,310.0,906.0,,,,B
1,2,215,00:00:07.173833333333333,A3,310,906,A3,312.0,906.0,出界,A,,A
1,3,231,00:00:07.7077,A3,312,906,A3,314.0,908.0,,,,A
1,3,253,00:00:08.441766666666666,A3,314,908,A3,130.0,870.0,,,,B
1,3,263,00:00:08.775433333333334,A3,130,870,A3,314.0,904.0,,,,A
1,3,273,00:00:09.1091,A3,314,904,A3,312.0,904.0,,,,B
1,3,285,00:00:09.5095,A3,312,904,D2,424.0,642.0,,,,A
1,3,295,00:00:09.843166666666667,D2,424,642,B2,322.0,802.0,,,,B
1,3,306,00:00:10.2102,B2,322,802,A3,310.0,904.0,,,,A
1,3,326,00:00:10.877533333333332,A3,310,904,A3,310.0,904.0,,,,B
1,3,344,00:00:11.478133333333334,A3,310,904,A1,162.0,620.0,,,,A
1,3,360,00:00:12.012,A1,162,620,A3,312.0,904.0,,,,B
1,3,384,00:00:12.812800000000001,A3,312,904,A3,312.0,904.0,出界,A,,A
1,4,400,00:00:13.346666666666666,A3,312,904,A3,312.0,904.0,,,,A
1,4,410,00:00:13.680333333333333,A3,312,904,A3,312.0,904.0,,,,B
1,4,420,00:00:14.014,A3,312,904,A1,302.0,454.0,,,,A
1,4,430,00:00:14.347666666666665,A1,302,454,A3,312.0,904.0,,,,B
1,4,444,00:00:14.814800000000002,A3,312,904,A3,312.0,904.0,,,,A
1,4,473,00:00:15.782433333333334,A3,312,904,A3,312.0,902.0,,,,B
1,4,483,00:00:16.1161,A3,312,902,A3,312.0,902.0,,,,A
1,4,504,00:00:16.8168,A3,312,902,A2,300.0,726.0,,,,B
1,4,514,00:00:17.150466666666667,A2,300,726,A3,314.0,902.0,,,,A
1,4,531,00:00:17.7177,A3,314,902,A2,210.0,854.0,,,,B
1,4,545,00:00:18.184833333333334,A2,210,854,A2,276.0,850.0,,,,A
1,4,558,00:00:18.618599999999997,A2,276,850,A2,256.0,802.0,,,,B
1,4,574,00:00:19.152466666666665,A2,256,802,D2,512.0,788.0,,,,A
1,4,588,00:00:19.6196,D2,512,788,A2,256.0,802.0,,,,B
1,4,599,00:00:19.986633333333334,A2,256,802,A3,174.0,894.0,,,,A
1,4,611,00:00:20.38703333333333,A3,174,894,A2,256.0,802.0,出界,A,,B
1,5,623,00:00:20.787433333333333,A2,256,802,A2,256.0,802.0,,,,A
1,5,636,00:00:21.2212,A2,256,802,A3,310.0,904.0,,,,B
1,5,647,00:00:21.588233333333335,A3,310,904,A2,140.0,650.0,,,,A
1,5,675,00:00:22.5225,A2,140,650,A2,256.0,804.0,,,,B
1,5,711,00:00:23.7237,A2,256,804,A2,198.0,784.0,,,,A
1,5,730,00:00:24.357666666666667,A2,198,784,B1,322.0,578.0,,,,B
1,5,751,00:00:25.058366666666668,B1,322,578,A1,280.0,526.0,,,,A
1,5,765,00:00:25.5255,A1,280,526,A1,222.0,508.0,,,,B
1,5,777,00:00:25.925900000000002,A1,222,508,A1,308.0,494.0,,,,A
1,5,789,00:00:26.3263,A1,308,494,A1,290.0,530.0,,,,B
1,5,800,00:00:26.69333333333333,A1,290,530,A1,248.0,572.0,,,,A
1,5,811,00:00:27.060366666666667,A1,248,572,A2,256.0,802.0,出界,A,,B
1,6,833,00:00:27.794433333333334,A2,256,802,A2,256.0,800.0,,,,A
1,6,873,00:00:29.1291,A2,256,800,A2,256.0,802.0,,,,B
1,6,886,00:00:29.562866666666668,A2,256,802,A2,254.0,804.0,,,,A
1,6,896,00:00:29.896533333333334,A2,254,804,A3,162.0,886.0,,,,B
1,6,908,00:00:30.296933333333335,A3,162,886,A2,256.0,802.0,,,,A
1,6,924,00:00:30.8308,A2,256,802,A2,256.0,800.0,,,,B
1,6,939,00:00:31.3313,A2,256,800,A3,312.0,902.0,,,,A
1,6,958,00:00:31.965266666666665,A3,312,902,A2,260.0,680.0,,,,B
1,6,972,00:00:32.4324,A2,260,680,A1,220.0,522.0,,,,A
1,6,988,00:00:32.96626666666667,A1,220,522,A2,152.0,730.0,出界,A,,B
1,7,1002,00:00:33.4334,A2,152,730,A2,254.0,804.0,,,,A
1,7,1012,00:00:33.767066666666665,A2,254,804,A3,312.0,902.0,,,,B
1,7,1044,00:00:34.8348,A3,312,902,A3,314.0,902.0,,,,A
1,7,1054,00:00:35.16846666666667,A3,314,902,A2,256.0,802.0,,,,B
1,7,1064,00:00:35.50213333333333,A2,256,802,A1,236.0,548.0,,,,A
1,7,1077,00:00:35.935900000000004,A1,236,548,A2,290.0,714.0,,,,B
1,7,1089,00:00:36.3363,A2,290,714,A2,310.0,786.0,,,,A
1,7,1099,00:00:36.66996666666667,A2,310,786,A2,298.0,836.0,,,,B
1,7,1109,00:00:37.00363333333333,A2,298,836,A3,260.0,868.0,,,,A
1,7,1119,00:00:37.337300000000006,A3,260,868,A3,302.0,892.0,,,,B
1,7,1129,00:00:37.670966666666665,A3,302,892,D2,514.0,834.0,,,,A
1,7,1142,00:00:38.104733333333336,D2,514,834,A2,282.0,670.0,,,,B
1,7,1159,00:00:38.67196666666667,A2,282,670,A2,256.0,802.0,,,,A
1,7,1181,00:00:39.40603333333333,A2,256,802,A2,300.0,800.0,出界,A,,B
1,8,1225,00:00:40.87416666666667,A2,300,800,A3,172.0,888.0,,,,A
1,8,1252,00:00:41.77506666666667,A3,172,888,A3,292.0,898.0,,,,B
1,8,1267,00:00:42.27556666666666,A3,292,898,A2,260.0,802.0,,,,A
1,8,1278,00:00:42.6426,A2,260,802,A2,254.0,798.0,,,,B
1,8,1289,00:00:43.00963333333333,A2,254,798,A3,306.0,894.0,,,,A
1,8,1300,00:00:43.376666666666665,A3,306,894,A3,162.0,884.0,,,,B
1,8,1315,00:00:43.87716666666667,A3,162,884,A2,240.0,782.0,,,,A
1,8,1325,00:00:44.21083333333333,A2,240,782,A3,312.0,904.0,,,,B
1,8,1337,00:00:44.61123333333334,A3,312,904,A3,312.0,904.0,,,,A
1,8,1350,00:00:45.045,A3,312,904,A3,310.0,904.0,,,,B
1,8,1369,00:00:45.67896666666667,A3,310,904,A3,314.0,904.0,出界,A,,A
1,9,1393,00:00:46.47976666666667,A3,314,904,A3,312.0,904.0,,,,A
1,9,1421,00:00:47.414033333333336,A3,312,904,A3,312.0,904.0,,,,B
1,9,1431,00:00:47.7477,A3,312,904,A3,314.0,904.0,,,,A
1,9,1447,00:00:48.28156666666666,A3,314,904,A2,314.0,800.0,,,,B
1,9,1458,00:00:48.6486,A2,314,800,A2,288.0,698.0,,,,A
1,9,1471,00:00:49.082366666666665,A2,288,698,A1,306.0,560.0,,,,B
1,9,1485,00:00:49.5495,A1,306,560,A3,312.0,904.0,,,,A
1,9,1500,00:00:50.05,A3,312,904,A3,312.0,904.0,,,,B
1,9,1514,00:00:50.517133333333334,A3,312,904,B2,362.0,660.0,,,,A
1,9,1565,00:00:52.218833333333336,B2,362,660,A2,256.0,796.0,,,,B
1,9,1576,00:00:52.58586666666667,A2,256,796,A2,308.0,792.0,,,,A
1,9,1596,00:00:53.25320000000001,A2,308,792,A2,258.0,700.0,,,,B
1,9,1606,00:00:53.586866666666666,A2,258,700,A1,246.0,594.0,,,,A
1,9,1616,00:00:53.92053333333333,A1,246,594,A1,268.0,522.0,出界,A,,B
1,10,1636,00:00:54.58786666666667,A1,268,522,A3,134.0,896.0,,,,A
1,10,1646,00:00:54.921533333333336,A3,134,896,A1,290.0,476.0,,,,B
1,10,1679,00:00:56.02263333333333,A1,290,476,A2,256.0,802.0,,,,A
1,10,1710,00:00:57.057,A2,256,802,A2,254.0,800.0,,,,B
1,10,1742,00:00:58.12473333333334,A2,254,800,A1,288.0,586.0,,,,A
1,10,1752,00:00:58.458400000000005,A1,288,586,A2,256.0,800.0,,,,B
1,10,1773,00:00:59.159099999999995,A2,256,800,A2,266.0,728.0,,,,A
1,10,1793,00:00:59.826433333333334,A2,266,728,A2,256.0,800.0,,,,B
1,10,1803,00:01:00.1600999999999999,A2,256,800,A2,256.0,800.0,出界,A,,A
1,11,1822,00:01:00.7940666666666658,A2,256,800,A1,300.0,562.0,,,,A
1,11,1832,00:01:01.1277333333333388,A1,300,562,A1,192.0,530.0,,,,B
1,11,1842,00:01:01.4614000000000047,A1,192,530,A1,222.0,512.0,,,,A
1,11,1853,00:01:01.8284333333333365,A1,222,512,A2,254.0,798.0,,,,B
1,11,1868,00:01:02.3289333333333317,A2,254,798,A1,298.0,500.0,,,,A
1,11,1884,00:01:02.8628,A1,298,500,A1,310.0,464.0,,,,B
1,11,1897,00:01:03.2965666666666635,A1,310,464,A1,288.0,530.0,,,,A
1,11,1914,00:01:03.863800000000005,A1,288,530,A2,146.0,758.0,,,,B
1,11,1946,00:01:04.931533333333334,A2,146,758,A1,296.0,588.0,,,,A
1,11,1964,00:01:05.532133333333334,A1,296,588,A1,310.0,564.0,出界,A,,B
1,12,2029,00:01:07.700966666666673,A1,310,564,A2,258.0,800.0,,,,A
1,12,2043,00:01:08.16810000000001,A2,258,800,A2,258.0,800.0,,,,B
1,12,2054,00:01:08.535133333333334,A2,258,800,A2,256.0,800.0,,,,A
1,12,2065,00:01:08.902166666666673,A2,256,800,A1,310.0,558.0,,,,B
1,12,2077,00:01:09.302566666666664,A1,310,558,A2,256.0,800.0,,,,A
1,12,2087,00:01:09.636233333333337,A2,256,800,A1,308.0,496.0,,,,B
1,12,2109,00:01:10.3703,A1,308,496,A1,294.0,490.0,出界,A,,A
1,13,2126,00:01:10.937533333333334,A1,294,490,A2,256.0,800.0,,,,A
1,13,2155,00:01:11.905166666666673,A2,256,800,A2,256.0,800.0,,,,B
1,13,2165,00:01:12.238833333333332,A2,256,800,A2,288.0,834.0,,,,A
1,13,2184,00:01:12.872799999999998,A2,288,834,A2,258.0,798.0,,,,B
1,13,2194,00:01:13.206466666666671,A2,258,798,A2,256.0,800.0,,,,A
1,13,2209,00:01:13.706966666666673,A2,256,800,A2,254.0,800.0,,,,B
1,13,2219,00:01:14.040633333333332,A2,254,800,A2,252.0,798.0,,,,A
1,13,2256,00:01:15.275199999999998,A2,252,798,A2,254.0,798.0,,,,B
1,13,2268,00:01:15.675600000000003,A2,254,798,D1,452.0,546.0,出界,A,,A
1,14,2308,00:01:17.010266666666666,D1,452,546,A1,134.0,522.0,,,,A
1,14,2389,00:01:19.712966666666674,A1,134,522,A1,308.0,490.0,,,,B
1,14,2408,00:01:20.34693333333334,A1,308,490,A1,288.0,480.0,,,,A
1,14,2428,00:01:21.014266666666657,A1,288,480,A1,240.0,474.0,,,,B
1,14,2438,00:01:21.34793333333333,A1,240,474,A1,286.0,470.0,,,,A
1,14,2448,00:01:21.681600000000003,A1,286,470,A1,290.0,490.0,出界,A,,B
1,15,2472,00:01:22.482400000000013,A1,290,490,A1,282.0,482.0,,,,A
1,15,2484,00:01:22.882800000000003,A1,282,482,A1,292.0,492.0,,,,B
1,15,2499,00:01:23.383300000000006,A1,292,492,A1,224.0,518.0,,,,A
1,15,2511,00:01:23.783699999999996,A1,224,518,A1,270.0,532.0,,,,B
1,15,2523,00:01:24.1841,A1,270,532,A2,302.0,824.0,,,,A
1,15,2564,00:01:25.55213333333333,A2,302,824,A2,226.0,828.0,,,,B
1,15,2582,00:01:26.15273333333333,A2,226,828,A2,226.0,848.0,,,,A
1,15,2598,00:01:26.686600000000013,A2,226,848,A1,286.0,594.0,出界,A,,B
1,16,2626,00:01:27.62086666666667,A1,286,594,A2,286.0,648.0,,,,A
1,16,2643,00:01:28.188100000000006,A2,286,648,A2,278.0,824.0,,,,B
1,16,2670,00:01:29.089,A2,278,824,A2,132.0,770.0,,,,A
1,16,2694,00:01:29.889800000000008,A2,132,770,A1,128.0,578.0,,,,B
1,16,2711,00:01:30.457033333333342,A1,128,578,A1,224.0,502.0,,,,A
1,16,2722,00:01:30.824066666666667,A1,224,502,A1,288.0,456.0,,,,B
1,16,2737,00:01:31.32456666666667,A1,288,456,A1,312.0,470.0,,,,A
1,16,2754,00:01:31.891800000000003,A1,312,470,A1,272.0,452.0,,,,B
1,16,2767,00:01:32.32556666666666,A1,272,452,A1,224.0,440.0,,,,A
1,16,2778,00:01:32.6926,A1,224,440,C1,316.0,424.0,,,,B
1,16,2792,00:01:33.159733333333335,C1,316,424,A2,300.0,812.0,出界,A,,A
1,17,2823,00:01:34.194100000000006,A2,300,812,A2,300.0,818.0,,,,A
1,17,2837,00:01:34.66123333333334,A2,300,818,A2,308.0,830.0,,,,B
1,17,2856,00:01:35.295199999999994,A2,308,830,A2,136.0,750.0,,,,A
1,17,2916,00:01:37.297200000000004,A2,136,750,B1,320.0,556.0,,,,B
1,17,2936,00:01:37.964533333333335,B1,320,556,A1,272.0,520.0,,,,A
1,17,2951,00:01:38.46503333333334,A1,272,520,A1,298.0,510.0,,,,B
1,17,2963,00:01:38.86543333333333,A1,298,510,A1,294.0,494.0,,,,A
1,17,2979,00:01:39.3993,A1,294,494,A3,172.0,890.0,,,,B
1,17,2993,00:01:39.86643333333333,A3,172,890,A1,232.0,512.0,,,,A
1,17,3018,00:01:40.70060000000001,A1,232,512,A1,310.0,486.0,,,,B
1,17,3029,00:01:41.06763333333333,A1,310,486,A1,284.0,494.0,,,,A
1,17,3048,00:01:41.7016,A1,284,494,A1,218.0,526.0,出界,A,,B
1,18,3067,00:01:42.335566666666665,A1,218,526,A1,278.0,510.0,,,,A
1,18,3078,00:01:42.702600000000004,A1,278,510,A1,222.0,518.0,,,,B
1,18,3132,00:01:44.504400000000004,A1,222,518,A1,182.0,464.0,,,,A
1,18,3145,00:01:44.938166666666675,A1,182,464,A2,256.0,800.0,,,,B
1,18,3160,00:01:45.43866666666668,A2,256,800,B3,318.0,904.0,,,,A
1,18,3176,00:01:45.972533333333345,B3,318,904,A2,256.0,798.0,,,,B
1,18,3190,00:01:46.43966666666667,A2,256,798,A2,256.0,798.0,,,,A
1,18,3206,00:01:46.973533333333336,A2,256,798,A2,256.0,798.0,出界,A,,B
1,19,3231,00:01:47.8077,A2,256,798,A2,256.0,798.0,,,,A
1,19,3244,00:01:48.24146666666667,A2,256,798,A1,240.0,586.0,,,,B
1,19,3254,00:01:48.575133333333326,A1,240,586,A2,254.0,800.0,,,,A
1,19,3269,00:01:49.07563333333333,A2,254,800,D2,442.0,656.0,,,,B
1,19,3281,00:01:49.47603333333333,D2,442,656,A1,154.0,588.0,,,,A
1,19,3296,00:01:49.976533333333336,A1,154,588,A1,256.0,416.0,,,,B
1,19,3323,00:01:50.87743333333333,A1,256,416,A1,294.0,476.0,,,,A
1,19,3333,00:01:51.2111,A1,294,476,A1,278.0,532.0,,,,B
1,19,3343,00:01:51.54476666666666,A1,278,532,A2,282.0,688.0,,,,A
1,19,3355,00:01:51.945166666666665,A2,282,688,A2,292.0,798.0,出界,A,,B
1,20,3376,00:01:52.64586666666666,A2,292,798,A2,254.0,800.0,,,,A
1,20,3409,00:01:53.74696666666668,A2,254,800,A2,148.0,668.0,,,,B
1,20,3424,00:01:54.24746666666667,A2,148,668,A2,256.0,800.0,,,,A
1,20,3446,00:01:54.981533333333346,A2,256,800,A2,256.0,798.0,,,,B
1,20,3476,00:01:55.982533333333336,A2,256,798,A3,172.0,886.0,,,,A
1,20,3487,00:01:56.34956666666666,A3,172,886,A2,262.0,798.0,,,,B
1,20,3503,00:01:56.88343333333333,A2,262,798,A2,188.0,778.0,,,,A
1,20,3513,00:01:57.2171,A2,188,778,B1,392.0,532.0,,,,B
1,20,3524,00:01:57.58413333333333,B1,392,532,D2,456.0,750.0,落地,B,,A
1,21,3609,00:02:00.42029999999999745,D2,456,750,A1,302.0,622.0,,,,B
1,21,3623,00:02:00.887433333333334,A1,302,622,A2,156.0,838.0,,,,A
1,21,3652,00:02:01.8550666666666586,A2,156,838,A1,298.0,588.0,,,,B
1,21,3670,00:02:02.455666666666673,A1,298,588,A1,300.0,484.0,,,,A
1,21,3692,00:02:03.1897333333333364,A1,300,484,A1,308.0,488.0,出界,A,,B
1,22,3710,00:02:03.7903333333333222,A1,308,488,A1,298.0,504.0,,,,A
1,22,3733,00:02:04.557766666666666,A1,298,504,A2,156.0,636.0,,,,B
1,22,3761,00:02:05.492033333333339,A2,156,636,A2,138.0,738.0,,,,A
1,22,3777,00:02:06.025900000000007,A2,138,738,A2,238.0,784.0,,,,B
1,22,3789,00:02:06.426299999999998,A2,238,784,A2,284.0,802.0,,,,A
1,22,3803,00:02:06.893433333333334,A2,284,802,A2,308.0,830.0,,,,B
1,22,3828,00:02:07.72760000000001,A2,308,830,A2,200.0,852.0,,,,A
1,22,3847,00:02:08.361566666666675,A2,200,852,A2,234.0,858.0,出界,A,,B
2,1,3899,00:02:10.09663333333333,A2,234,858,A2,306.0,842.0,,,,A
2,1,3914,00:02:10.597133333333318,A2,306,842,A2,252.0,798.0,,,,B
2,1,3978,00:02:12.73260000000002,A2,252,798,A3,300.0,904.0,,,,A
2,1,3996,00:02:13.333200000000005,A3,300,904,A2,256.0,798.0,出界,B,,B
2,2,4019,00:02:14.10063333333332,A2,256,798,A1,190.0,550.0,,,,B
2,2,4040,00:02:14.801333333333332,A1,190,550,A3,164.0,868.0,,,,A
2,2,4058,00:02:15.401933333333346,A3,164,868,A3,160.0,902.0,,,,B
2,2,4069,00:02:15.768966666666671,A3,160,902,D2,430.0,684.0,,,,A
2,2,4100,00:02:16.80333333333334,D2,430,684,D2,448.0,654.0,,,,B
2,2,4119,00:02:17.437299999999993,D2,448,654,D1,446.0,624.0,,,,A
2,2,4135,00:02:17.971166666666647,D1,446,624,B2,374.0,660.0,,,,B
2,2,4145,00:02:18.304833333333335,B2,374,660,B2,328.0,712.0,,,,A
2,2,4155,00:02:18.638499999999993,B2,328,712,A2,310.0,754.0,,,,B
2,2,4166,00:02:19.005533333333318,A2,310,754,A2,276.0,684.0,,,,A
2,2,4176,00:02:19.339200000000005,A2,276,684,A1,244.0,584.0,,,,B
2,2,4186,00:02:19.672866666666664,A1,244,584,A1,300.0,508.0,,,,A
2,2,4196,00:02:20.006533333333323,A1,300,508,A2,310.0,740.0,,,,B
2,2,4210,00:02:20.473666666666645,A2,310,740,A2,294.0,800.0,,,,A
2,2,4222,00:02:20.874066666666693,A2,294,800,A2,248.0,806.0,,,,B
2,2,4238,00:02:21.407933333333347,A2,248,806,A2,252.0,728.0,,,,A
2,2,4250,00:02:21.808333333333337,A2,252,728,A1,304.0,524.0,,,,B
2,2,4264,00:02:22.275466666666688,A1,304,524,A2,258.0,798.0,,,,A
2,2,4276,00:02:22.67586666666668,A2,258,798,A1,174.0,508.0,,,,B
2,2,4300,00:02:23.47666666666666,A1,174,508,A1,176.0,504.0,,,,A
2,2,4310,00:02:23.810333333333347,A1,176,504,A2,256.0,798.0,,,,B
2,2,4320,00:02:24.144000000000005,A2,256,798,A3,132.0,870.0,,,,A
2,2,4333,00:02:24.577766666666662,A3,132,870,D1,430.0,628.0,,,,B
2,2,4343,00:02:24.91143333333335,D1,430,628,A2,262.0,706.0,出界,B,,A
2,3,4382,00:02:26.212733333333347,A2,262,706,D1,440.0,620.0,,,,B
2,3,4398,00:02:26.7466,D1,440,620,D2,442.0,662.0,,,,A
2,3,4410,00:02:27.14699999999999,D2,442,662,D2,468.0,652.0,,,,B
2,3,4421,00:02:27.514033333333316,D2,468,652,A2,166.0,808.0,,,,A
2,3,4444,00:02:28.281466666666688,A2,166,808,A1,278.0,616.0,,,,B
2,3,4454,00:02:28.61513333333332,A1,278,616,A2,256.0,800.0,,,,A
2,3,4474,00:02:29.282466666666664,A2,256,800,A2,256.0,798.0,,,,B
2,3,4498,00:02:30.083266666666674,A2,256,798,A2,256.0,800.0,,,,A
2,3,4509,00:02:30.4503,A2,256,800,A2,256.0,798.0,出界,B,,B
2,4,4521,00:02:30.850700000000018,A2,256,798,A2,268.0,732.0,,,,B
2,4,4534,00:02:31.284466666666674,A2,268,732,A3,314.0,888.0,,,,A
2,4,4552,00:02:31.885066666666688,A3,314,888,A2,256.0,800.0,,,,B
2,4,4574,00:02:32.61913333333334,A2,256,800,A2,314.0,692.0,,,,A
2,4,4588,00:02:33.08626666666666,A2,314,692,A2,148.0,858.0,,,,B
2,4,4615,00:02:33.98716666666667,A2,148,858,A2,256.0,798.0,,,,A
2,4,4647,00:02:35.0549,A2,256,798,A1,262.0,558.0,,,,B
2,4,4675,00:02:35.98916666666665,A1,262,558,D2,424.0,672.0,出界,B,,A
2,5,4697,00:02:36.723233333333326,D2,424,672,D2,446.0,654.0,,,,B
2,5,4721,00:02:37.524033333333335,D2,446,654,A1,162.0,614.0,,,,A
2,5,4735,00:02:37.99116666666666,A1,162,614,A1,246.0,476.0,,,,B
2,5,4766,00:02:39.02553333333333,A1,246,476,A1,294.0,494.0,,,,A
2,5,4777,00:02:39.39256666666668,A1,294,494,A1,294.0,530.0,,,,B
2,5,4789,00:02:39.79296666666667,A1,294,530,A1,298.0,622.0,,,,A
2,5,4802,00:02:40.22673333333333,A1,298,622,B2,328.0,730.0,,,,B
2,5,4814,00:02:40.62713333333332,B2,328,730,A2,308.0,812.0,,,,A
2,5,4834,00:02:41.294466666666665,A2,308,812,A2,308.0,820.0,,,,B
2,5,4846,00:02:41.694866666666655,A2,308,820,A2,262.0,702.0,,,,A
2,5,4856,00:02:42.028533333333314,A2,262,702,B1,322.0,562.0,,,,B
2,5,4872,00:02:42.5624,B1,322,562,A1,280.0,594.0,,,,A
2,5,4925,00:02:44.330833333333345,A1,280,594,A2,256.0,798.0,,,,B
2,5,4943,00:02:44.93143333333336,A2,256,798,A1,208.0,540.0,,,,A
2,5,4974,00:02:45.96580000000003,A1,208,540,A2,236.0,694.0,出界,B,,B
2,6,4986,00:02:46.36620000000002,A2,236,694,A2,312.0,784.0,,,,B
2,6,4996,00:02:46.69986666666668,A2,312,784,A2,312.0,852.0,,,,A
2,6,5017,00:02:47.40056666666669,A2,312,852,A2,254.0,800.0,,,,B
2,6,5045,00:02:48.334833333333336,A2,254,800,A3,182.0,894.0,,,,A
2,6,5074,00:02:49.302466666666675,A3,182,894,D1,458.0,574.0,,,,B
2,6,5123,00:02:50.93743333333336,D1,458,574,A2,178.0,688.0,,,,A
2,6,5137,00:02:51.40456666666668,A2,178,688,A2,160.0,772.0,,,,B
2,6,5163,00:02:52.272099999999995,A2,160,772,A1,278.0,446.0,,,,A
2,6,5195,00:02:53.33983333333333,A1,278,446,A2,254.0,800.0,出界,B,,B
2,7,5231,00:02:54.54103333333333,A2,254,800,A2,254.0,798.0,,,,B
2,7,5242,00:02:54.908066666666684,A2,254,798,A3,176.0,890.0,,,,A
2,7,5257,00:02:55.40856666666667,A3,176,890,A2,256.0,798.0,,,,B
2,7,5310,00:02:57.17699999999999,A2,256,798,A2,296.0,706.0,,,,A
2,7,5321,00:02:57.54403333333332,A2,296,706,B2,332.0,760.0,,,,B
2,7,5331,00:02:57.877700000000004,B2,332,760,A2,256.0,798.0,,,,A
2,7,5350,00:02:58.511666666666656,A2,256,798,A1,182.0,570.0,,,,B
2,7,5362,00:02:58.912066666666675,A1,182,570,A1,302.0,512.0,,,,A
2,7,5381,00:02:59.54603333333333,A1,302,512,A1,300.0,572.0,,,,B
2,7,5397,00:03:00.07989999999998076,A1,300,572,A2,302.0,638.0,,,,A
2,7,5409,00:03:00.48030000000002815,A2,302,638,A2,314.0,720.0,,,,B
2,7,5419,00:03:00.8139666666666869,A2,314,720,A2,306.0,820.0,,,,A
2,7,5439,00:03:01.4813000000000045,A2,306,820,A2,316.0,844.0,,,,B
2,7,5449,00:03:01.8149666666666633,A2,316,844,A3,290.0,868.0,,,,A
2,7,5459,00:03:02.148633333333322,A3,290,868,A2,308.0,792.0,,,,B
2,7,5471,00:03:02.5490333333333126,A2,308,792,A3,300.0,900.0,,,,A
2,7,5494,00:03:03.3164666666666847,A3,300,900,A1,316.0,586.0,出界,B,,B
2,8,5528,00:03:04.450933333333353,A1,316,586,A1,278.0,542.0,,,,B
2,8,5548,00:03:05.1182666666666705,A1,278,542,A2,146.0,644.0,,,,A
2,8,5589,00:03:06.486300000000028,A2,146,644,A1,216.0,554.0,,,,B
2,8,5603,00:03:06.953433333333351,A1,216,554,A2,132.0,708.0,,,,A
2,8,5662,00:03:08.922066666666694,A2,132,708,A1,134.0,608.0,,,,B
2,8,5672,00:03:09.255733333333325,A1,134,608,A1,234.0,526.0,,,,A
2,8,5686,00:03:09.722866666666675,A1,234,526,A2,256.0,798.0,出界,B,,B
2,9,5707,00:03:10.423566666666687,A2,256,798,A1,302.0,558.0,,,,B
2,9,5724,00:03:10.990800000000007,A1,302,558,A1,308.0,584.0,,,,A
2,9,5752,00:03:11.92506666666668,A1,308,584,A3,172.0,882.0,,,,B
