unique_id,rally,ball_round,time,frame_num,player,server,type,around_head,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number_1,hitting_area_number_2,hitting_area_number_3,hitting_area_number_4,landing_area_number_1,landing_area_number_2,landing_area_number_3,landing_area_number_4
2018-Indonesia_open-finals-1-2,1,1,00:06:33.800000,11814,A,1.0,發小球,,1.0,A2,197,655,2.0,,,1,0,,A1,263.0,335.0,2.0,1000.0,436,-188,285,852,343.0,-80.0,415.0,-133.0,90.0,20.0,0.0,20.0,32.75,52.0,61.45374276640927,0.0,18.0,18.0,0.09441530596253978,1050.9048482141473,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,1,2,00:06:34.500000,11836,B,,挑球,,1.0,A1,263,335,2.0,,,1,0,,A4,157.0,903.0,1.0,1000.0,343,-80,415,-133,305.0,-396.0,285.0,924.0,50.0,40.0,90.0,70.0,36.25,58.99999999999999,69.24638979759162,52.74999999999999,45.75,69.82567579336416,0.274907711787065,89.40357934669059,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,1,3,00:06:35.700000,11870,A,,切球,,,A3,157,903,1.0,,,1,0,,B2,49.0,280.0,2.0,1000.0,305,-396,285,924,198.0,-316.0,204.0,-316.0,0.0,70.0,70.0,40.0,17.5,31.75,36.253448111869304,30.75,89.0,94.16242615820813,0.1497414438290215,1320.15150645674,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,1,4,00:06:36.300000,11888,B,,擋小球,,,B2,49,280,2.0,,,1,0,,A1,56.0,588.0,2.0,1000.0,198,-316,204,-316,235.0,-269.0,162.0,568.0,20.0,0.0,60.0,0.0,12.0,100.0,100.71742649611338,13.5,100.0,100.90713552569015,0.40323814303708916,6.0,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,1,5,00:06:37.400000,11921,A,,放小球,,1.0,C1,56,588,2.0,,,1,0,,B1,81.0,409.0,2.0,1000.0,235,-269,162,568,150.0,84.0,150.0,84.0,10.0,0.0,80.0,10.0,20.25,12.5,23.797321277824526,54.5,135.25,145.81773726128108,0.28743781936272755,840.177362227762,0,1,0,0,0,1,0,0
2018-Indonesia_open-finals-1-2,1,6,00:06:38.300000,11948,B,,挑球,,,B1,81,409,2.0,,,1,0,,B4,284.0,911.0,1.0,1000.0,150,84,150,84,316.0,-319.0,380.0,1109.0,40.0,70.0,40.0,70.0,41.0,88.25,97.30910800125547,41.0,88.25,97.30910800125547,0.3892364320050219,0.0,0,1,0,0,1,0,0,0
2018-Indonesia_open-finals-1-2,1,7,00:06:39.900000,11997,A,,切球,,,A3,284,911,1.0,,,1,0,,B2,201.0,242.0,2.0,1000.0,316,-319,380,1109,314.0,-269.0,314.0,-269.0,40.0,50.0,10.0,0.0,1.5,18.75,18.80990430597668,17.25,114.99999999999999,116.28655339290094,0.19611858657455186,1429.4334542048468,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,1,8,00:06:40.600000,12019,B,,擋小球,,1.0,A2,201,242,2.0,,,1,0,,A1,183.0,553.0,2.0,1000.0,314,-269,314,-269,310.0,-244.0,311.0,649.0,20.0,90.0,10.0,90.0,25.5,25.25,35.88610455315539,20.25,25.25,32.36703569992161,0.136283711425834,0.0,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,1,9,00:06:41.500000,12045,A,,放小球,,1.0,A1,183,553,2.0,,,1,0,,A1,328.0,405.0,2.0,1000.0,310,-244,311,649,416.0,-370.0,395.0,-370.0,10.0,80.0,70.0,40.0,10.25,2.0,10.443299287102711,20.75,136.0,137.57384380760755,0.2767977601065442,893.0005599102388,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,1,10,00:06:42.300000,12069,B,,挑球,,1.0,C1,328,405,2.0,,,1,0,,A3,116.0,876.0,1.0,1000.0,416,-370,395,-370,351.0,-236.0,228.0,1193.0,40.0,30.0,50.0,30.0,66.5,76.75,101.55201868993053,61.25,76.75,98.19432264647483,0.39941112903873877,21.0,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,1,11,00:06:43.500000,12104,A,,長球,,1.0,A3,116,876,1.0,,,1,0,,D4,31.0,43.0,2.0,1000.0,351,-236,228,1193,150.0,-677.0,150.0,-677.0,30.0,60.0,0.0,90.0,39.25,93.5,101.40420356178534,10.0,162.75,163.05693024217032,0.5158279752010354,1434.283793396551,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,1,12,00:06:44.700000,12141,B,,切球,,,D3,31,43,2.0,,,1,0,,A1,150.0,559.0,1.0,1000.0,150,-677,150,-677,194.0,-610.0,268.0,542.0,80.0,0.0,0.0,0.0,32.0,15.0,35.34119409414458,35.0,15.0,38.07886552931954,0.29363923443572726,0.0,0,0,0,1,0,0,0,1
2018-Indonesia_open-finals-1-2,1,13,00:06:45.600000,12167,A,,撲球,,,A1,150,559,1.0,,,1,0,,B3,185.0,147.0,,0.0,194,-610,268,542,278.0,-737.0,290.0,-737.0,90.0,60.0,20.0,70.0,59.75,101.49999999999999,117.7807815392647,5.5,74.25,74.45342503874485,0.24996221936746982,1154.3742893879783,0,0,0,1,0,0,0,1
2018-Indonesia_open-finals-1-2,1,14,00:06:45.900000,12177,B,,未擊球,,,A2,185,147,,落地,對手失誤,2,0,A,,,,,3000.0,278,-737,290,-737,433.0,-204.0,290.0,839.0,30.0,20.0,10.0,0.0,18.25,160.5,161.53424559516785,37.75,145.0,149.83344920277315,0.3105901640425852,12.0,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,2,1,00:06:48.900000,12267,A,1.0,發小球,,1.0,A2,199,660,2.0,,,5,0,,A2,241.0,326.0,2.0,1000.0,433,-204,290,839,351.0,-95.0,441.0,-157.0,60.0,40.0,50.0,30.0,38.5,6.0,38.96472763923803,18.75,111.74999999999999,113.31206908357115,0.24050467770918718,1052.7573319621195,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,2,2,00:06:49.500000,12286,B,,擋小球,,1.0,A1,241,326,2.0,,,5,0,,A1,113.0,537.0,2.0,1000.0,351,-95,441,-157,279.0,-180.0,215.0,392.0,20.0,70.0,0.0,0.0,19.5,90.75,92.82140108832661,45.0,130.0,137.56816492197603,0.45996005261326767,109.288608738514,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,2,3,00:06:50.500000,12314,A,,挑球,,1.0,A1,113,537,2.0,,,5,0,,B4,106.0,52.0,1.0,1000.0,279,-180,215,392,273.0,-458.0,261.0,-677.0,90.0,80.0,20.0,20.0,5.25,63.0,63.218371538659554,5.5,138.0,138.10955796033815,0.30000166666203704,575.5692834055689,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,2,4,00:06:51.300000,12340,B,,殺球,,,B3,106,52,1.0,,,5,0,,A2,140.0,709.0,2.0,0.0,273,-458,261,-677,258.0,-432.0,237.0,944.0,40.0,20.0,70.0,20.0,16.5,83.0,84.62416912442922,13.25,153.0,153.57266195518002,0.9514709664514204,219.32852071721086,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,2,5,00:06:51.800000,12355,A,,擋小球,,1.0,A2,140,709,2.0,,,5,0,,B2,118.0,294.0,2.0,1000.0,258,-432,237,944,207.0,-126.0,208.0,-65.0,50.0,0.0,10.0,10.0,8.75,25.0,26.487025125521363,22.75,30.25,37.85003302508467,0.04257933771208754,1376.1602377630302,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,2,6,00:06:52.500000,12375,B,,挑球,,,A2,118,294,2.0,,,5,0,,B3,218.0,852.0,1.0,2000.0,207,-126,208,-65,293.0,-532.0,328.0,1065.0,80.0,60.0,80.0,20.0,32.0,111.00000000000001,115.52056094046634,39.5,89.5,97.82893232576956,0.42573465914816,61.00819617067857,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,2,7,00:06:54,12420,A,,殺球,,,A2,218,852,1.0,,,5,0,,B3,191.0,187.0,2.0,0.0,293,-532,328,1065,335.0,-570.0,366.0,-423.0,90.0,30.0,50.0,20.0,4.75,38.25,38.543806246918585,11.25,62.0,63.012399573417284,0.09849365461794989,1597.3834855788386,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,2,8,00:06:54.500000,12435,B,,擋小球,,,A2,191,187,2.0,,,5,0,,A1,174.0,511.0,1.0,1000.0,335,-570,366,-423,312.0,-379.0,283.0,817.0,10.0,50.0,0.0,80.0,17.25,71.25,73.30842379972441,25.0,34.5,42.60575078554537,0.45551070239896674,150.23315213360866,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,2,9,00:06:55.200000,12457,A,,撲球,,,A1,174,511,1.0,,,5,0,,A3,227.0,172.0,2.0,0.0,312,-379,283,817,266.0,-285.0,266.0,-285.0,80.0,20.0,30.0,10.0,7.000000000000001,72.0,72.3394774656273,35.75,34.75,49.856042763139556,0.45996739014847565,1196.3515369656195,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,2,10,00:06:55.600000,12469,B,,防守回挑,,1.0,A2,227,172,2.0,,,5,0,,B2,343.0,669.0,1.0,1000.0,266,-285,266,-285,340.0,-667.0,426.0,678.0,70.0,0.0,70.0,0.0,18.25,30.0,35.11498967677479,18.25,30.0,35.11498967677479,0.14045995870709915,0.0,0,0,0,1,0,0,1,0
2018-Indonesia_open-finals-1-2,2,11,00:06:56.500000,12495,A,,切球,,,B2,343,669,1.0,,,5,0,,B2,41.0,285.0,,1000.0,340,-667,426,678,193.0,-405.0,193.0,-405.0,10.0,80.0,90.0,40.0,27.25,129.5,132.33598339076187,17.75,43.5,46.982044442531446,0.1787568180517879,1347.74663791085,0,0,1,0,0,0,0,1
2018-Indonesia_open-finals-1-2,2,12,00:06:57.400000,12522,B,,未擊球,,,B2,41,285,,落地,搶主動,6,0,A,,,,,3000.0,193,-405,193,-405,231.0,-149.0,355.0,852.0,0.0,80.0,90.0,0.0,0.0,99.5,99.5,12.25,85.0,85.87818407488598,0.1849062262337318,0.0,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,3,1,00:07:00.200000,12607,A,1.0,發小球,,1.0,A2,220,660,2.0,,,6,0,,B1,78.0,369.0,2.0,1000.0,231,-149,355,852,193.0,-7.0,242.0,-65.0,30.0,70.0,0.0,70.0,1.7500000000000002,70.75,70.77163980013464,35.0,63.24999999999999,72.28805226315065,0.5557922273655866,1008.6510794124994,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,3,2,00:07:01,12631,B,,放小球,,,B1,78,369,2.0,,,6,0,,A1,95.0,525.0,2.0,0.0,193,-7,242,-65,224.0,-432.0,215.0,599.0,30.0,10.0,80.0,80.0,65.75,222.25,231.77170879984467,49.5,165.5,172.74403028759053,0.8090305927466526,75.92759709091287,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,3,3,00:07:01.800000,12653,A,,挑球,,1.0,C1,95,525,2.0,,,6,0,,A4,341.0,44.0,1.0,2000.0,224,-432,215,599,456.0,-896.0,440.0,-727.0,60.0,10.0,30.0,0.0,51.5,99.75,112.26002182433426,40.75,50.0,64.5024224351303,0.20961989409404824,1031.0392815019222,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,3,4,00:07:03.100000,12692,B,,切球,1.0,,C3,341,44,1.0,,,6,0,,B2,350.0,721.0,2.0,0.0,456,-896,440,-727,430.0,-831.0,378.0,799.0,30.0,70.0,20.0,80.0,51.74999999999999,186.75,193.78757700121028,49.5,187.0,193.44055934575871,1.5488866969536539,169.75570682601514,0,0,0,1,0,0,0,1
2018-Indonesia_open-finals-1-2,3,5,00:07:03.600000,12709,A,,擋小球,,,B2,350,721,2.0,,,6,0,,B1,127.0,368.0,2.0,1000.0,430,-831,378,799,249.0,-149.0,242.0,21.0,60.0,80.0,10.0,80.0,38.5,102.0,109.02407990898158,54.75,72.0,90.45199002785954,0.2632162186830017,1630.829236922125,0,0,0,1,0,0,0,1
2018-Indonesia_open-finals-1-2,3,6,00:07:04.700000,12741,B,,挑球,,,A1,127,368,2.0,,,6,0,,A3,122.0,866.0,1.0,2000.0,249,-149,242,21,276.0,-423.0,159.0,1087.0,30.0,20.0,0.0,0.0,5.75,129.5,129.62759158450797,7.5,152.5,152.6843148460247,0.5646222188330885,170.14405661086138,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,3,7,00:07:06,12780,A,,長球,,,A2,122,866,1.0,,,6,0,,B3,111.0,63.0,1.0,0.0,276,-423,159,1087,272.0,-667.0,272.0,-589.0,90.0,90.0,80.0,50.0,5.25,2.25,5.7118298293979315,19.5,183.75,184.78179699310212,0.7282341656363013,1514.5259984562827,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,3,8,00:07:06.800000,12805,B,,切球,,,A3,111,63,1.0,,,6,0,,A1,104.0,530.0,2.0,1000.0,272,-667,272,-589,255.0,-414.0,237.0,352.0,20.0,50.0,60.0,0.0,25.5,103.75,106.83778591865331,24.0,170.0,171.68575945604806,0.556378692978083,78.0,0,0,0,1,0,0,0,1
2018-Indonesia_open-finals-1-2,3,9,00:07:07.700000,12832,A,,擋小球,,1.0,C1,104,530,2.0,,,6,0,,A1,304.0,416.0,2.0,1000.0,255,-414,237,352,374.0,-252.0,368.0,91.0,70.0,70.0,70.0,90.0,16.75,58.25,60.61043639506318,1.7500000000000002,184.75,184.75828804142995,0.2556912200291594,766.211459063358,0,0,0,1,0,0,0,1
2018-Indonesia_open-finals-1-2,3,10,00:07:08.500000,12856,B,,挑球,,1.0,A1,304,416,2.0,,,6,0,,A3,141.0,868.0,1.0,1000.0,374,-252,368,91,322.0,-647.0,244.0,1091.0,20.0,50.0,0.0,50.0,32.0,116.25,120.57388813503526,40.0,241.25,244.54357996070962,0.7293565657481943,343.05247412021384,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,3,11,00:07:09.800000,12895,A,,殺球,,,A2,141,868,1.0,,,6,0,,B3,83.0,187.0,2.0,1000.0,322,-647,244,1091,246.0,-717.0,208.0,-874.0,40.0,70.0,40.0,70.0,14.000000000000002,84.25,85.40528379438827,3.5000000000000004,100.75,100.81077571371029,0.03911521443121589,1739.749407242319,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,3,12,00:07:10.400000,12912,B,,擋小球,,,B2,83,187,2.0,,,6,0,,A1,120.0,525.0,2.0,1000.0,246,-717,208,-874,266.0,-310.0,258.0,688.0,10.0,0.0,0.0,70.0,72.75,17.5,74.82521299668983,85.0,56.75,102.20353467468726,0.23246744096993693,161.533278305122,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,3,13,00:07:11.300000,12939,A,,挑球,,1.0,A1,120,525,2.0,,,6,0,,A5,345.0,-36.0,,2000.0,266,-310,258,688,537.0,-647.0,548.0,-647.0,90.0,40.0,70.0,60.0,7.249999999999999,28.499999999999996,29.407694571319254,11.749999999999998,221.0,221.3121381668886,0.15474831178400622,998.0320636131887,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,3,14,00:07:13,12991,B,,未擊球,,,C4,345,-36,,出界,對手失誤,6,1,B,,,,,3000.0,537,-647,548,-647,295.0,-196.0,305.0,-196.0,0.0,10.0,80.0,0.0,50.0,77.75,92.4395072466313,5.5,470.0,470.0321797494294,0.44044363998132613,11.0,0,0,0,1,0,0,0,1
2018-Indonesia_open-finals-1-2,4,1,00:07:16.200000,13086,B,1.0,發長球,,,A2,185,266,2.0,,,6,2,,B4,362.0,911.0,1.0,2000.0,295,-196,305,-196,337.0,-336.0,526.0,1233.0,30.0,80.0,30.0,80.0,8.25,65.5,66.01751661491062,5.75,65.5,65.75190111319976,0.2634919353604584,10.0,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,4,2,00:07:18.200000,13147,A,,切球,,,B3,362,911,1.0,,,6,2,,A2,249.0,275.0,2.0,0.0,337,-336,526,1233,328.0,-458.0,328.0,-458.0,90.0,70.0,50.0,10.0,7.75,10.75,13.25235828069857,41.25,57.25,70.56291518921253,0.3352610922848042,1580.342367969675,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,4,3,00:07:18.900000,13168,B,,挑球,,1.0,A2,249,275,2.0,,,6,2,,A2,165.0,684.0,1.0,1000.0,328,-458,328,-458,306.0,-379.0,361.0,1004.0,30.0,40.0,30.0,40.0,9.25,53.5,54.29376115171982,6.75,53.5,53.924136525307475,0.2163792966066763,0.0,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,4,4,00:07:19.500000,13186,A,,切球,,1.0,A2,165,684,1.0,,,6,2,,B1,174.0,361.0,2.0,1000.0,306,-379,361,1004,291.0,-244.0,301.0,-244.0,0.0,70.0,60.0,0.0,5.0,51.74999999999999,51.99098479544314,8.5,97.5,97.8698114844409,0.0917673689281762,1384.0932049540595,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,4,5,00:07:20.300000,13208,B,,擋小球,,,A1,174,361,2.0,,,6,2,,A1,177.0,504.0,2.0,1000.0,291,-244,301,-244,326.0,-172.0,327.0,614.0,40.0,70.0,40.0,70.0,36.0,110.74999999999999,116.45412186779822,33.5,110.74999999999999,115.70571507060487,0.9285903294779673,10.0,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,4,6,00:07:21.100000,13234,A,,放小球,,1.0,A1,177,504,2.0,,,6,2,,A1,264.0,434.0,1.0,0.0,326,-172,327,614,435.0,-687.0,435.0,-687.0,70.0,40.0,20.0,90.0,14.249999999999998,28.499999999999996,31.863968679372,5.5,37.25,37.65385106466535,0.27460881267723364,786.000636132058,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,4,7,00:07:21.800000,13255,B,,撲球,,1.0,A1,264,434,1.0,,,6,2,,B2,251.0,684.0,2.0,1000.0,435,-687,435,-687,383.0,-58.0,349.0,763.0,0.0,70.0,10.0,90.0,15.0,171.75,172.40377751081905,2.75,157.25,157.27404426668755,0.6589569409301339,0.0,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,4,8,00:07:22.100000,13264,A,,擋小球,,,A2,251,684,2.0,,,6,2,,E2,447.0,311.0,,1000.0,383,-58,349,763,495.0,0.0,446.0,-58.0,50.0,60.0,30.0,50.0,11.25,38.5,40.1100049862874,14.249999999999998,21.25,25.585640504001454,0.03501785258978626,821.7037178934996,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,4,9,00:07:23.300000,13300,B,,未擊球,,,E1,447,311,,出界,預測對手球路,6,3,B,,,,,1000.0,495,0,446,-58,428.0,-212.0,292.0,848.0,10.0,70.0,50.0,50.0,37.25,18.25,41.48041706637,6.25,18.75,19.764235376052373,0.1142147100858729,75.92759709091287,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,5,1,00:07:24.600000,13338,A,1.0,發小球,,,A2,191,664,2.0,,,7,3,,A2,243.0,317.0,2.0,1000.0,428,-212,292,848,346.0,-73.0,421.0,-133.0,10.0,0.0,0.0,10.0,24.75,0.0,24.75,2.5,52.24999999999999,52.3097744212303,0.11785796536509528,1068.6889163830604,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,5,2,00:07:25.400000,13362,B,,放小球,,1.0,A1,243,317,2.0,,,7,3,,B1,234.0,518.0,2.0,1000.0,346,-73,421,-133,329.0,-212.0,282.0,639.0,70.0,60.0,40.0,80.0,5.75,21.0,21.772976369803004,21.5,38.0,43.66062299143245,0.12997788273394822,96.04686356149273,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,5,3,00:07:26.100000,13384,A,,放小球,,,A1,234,518,2.0,,,7,3,,A1,239.0,414.0,2.0,1000.0,329,-212,282,639,323.0,-157.0,335.0,-285.0,50.0,60.0,70.0,10.0,8.75,46.0,46.82480645982426,8.25,90.25,90.62629309422293,0.09480638164174393,852.2968966269912,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,5,4,00:07:27,13410,B,,挑球,,1.0,A1,239,414,2.0,,,7,3,,A4,183.0,908.0,1.0,1000.0,323,-157,335,-285,294.0,-396.0,249.0,1000.0,20.0,30.0,80.0,70.0,7.000000000000001,109.25,109.47402659992002,40.5,58.25,70.9458420205159,0.348209706929603,128.56126943990557,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,5,5,00:07:28.500000,13455,A,,殺球,,,A3,183,908,1.0,,,7,3,,B3,76.0,189.0,2.0,1000.0,294,-396,249,1000,295.0,-594.0,173.0,-518.0,80.0,70.0,20.0,0.0,23.0,45.75,51.20607874071202,12.0,65.0,66.09841147864296,0.23229776150449663,1396.7250982208345,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,5,6,00:07:29.100000,13473,B,,擋小球,,,B2,76,189,2.0,,,7,3,,A1,97.0,517.0,2.0,1000.0,295,-594,173,-518,202.0,-579.0,201.0,740.0,60.0,20.0,80.0,60.0,23.499999999999996,85.5,88.670739254841,7.000000000000001,66.5,66.86740611089981,0.61157174558673,143.7358688706476,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,5,7,00:07:30,13501,A,,放小球,,,C1,97,517,2.0,,,7,3,,B1,99.0,350.0,2.0,0.0,202,-579,201,740,201.0,-252.0,201.0,-252.0,20.0,30.0,80.0,90.0,13.0,45.75,47.56114485585897,18.0,92.25,93.9896935839244,0.27618110000505103,1319.0003790750025,0,1,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,5,8,00:07:30.900000,13526,B,,挑球,,,B1,99,350,2.0,,,7,3,,A3,90.0,868.0,1.0,2000.0,201,-252,201,-252,254.0,-396.0,129.0,1109.0,0.0,30.0,20.0,20.0,5.0,31.75,32.14128964431888,4.5,14.499999999999998,15.182226450688976,0.09443119188064926,0.0,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,5,9,00:07:32.300000,13568,A,,殺球,,,C2,90,868,1.0,,,7,3,,F2,-25.0,196.0,2.0,0.0,254,-396,129,1109,181.0,-379.0,183.0,-310.0,10.0,10.0,40.0,60.0,10.25,57.25,58.16033871978395,9.0,39.0,40.024992192379,,1510.182108224038,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,5,10,00:07:32.900000,13588,B,,擋小球,,,D2,-25,196,2.0,,,7,3,,B2,62.0,201.0,,0.0,181,-379,183,-310,295.0,-625.0,93.0,1265.0,40.0,30.0,20.0,40.0,28.499999999999996,45.75,53.900950826492846,30.5,28.499999999999996,41.743262929483606,0.0948370312694361,69.02897942168927,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,5,11,00:07:32.700000,13582,A,,未擊球,,,B2,62,201,,未回擊成功,殺球精準,8,3,A,,,,,4000.0,295,-625,93,1265,295.0,-196.0,305.0,-196.0,30.0,0.0,80.0,40.0,8.25,55.0,55.615308144430884,94.5,19.0,96.39113029734634,0.07258271144012188,1900.764056899225,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,6,1,00:07:36.500000,13696,B,1.0,發長球,,,A2,187,256,2.0,,,9,6,,B4,329.0,900.0,1.0,2000.0,295,-196,305,-196,328.0,-405.0,471.0,1189.0,30.0,50.0,30.0,50.0,18.25,86.25,88.15965630604511,18.25,86.25,88.15965630604511,0.23509241681612028,10.0,0,0,0,1,1,0,0,0
2018-Indonesia_open-finals-1-2,6,2,00:07:38.500000,13756,A,,殺球,,,B3,329,900,1.0,,,9,6,,A2,285.0,211.0,2.0,1000.0,328,-405,471,1189,368.0,-541.0,378.0,-541.0,0.0,80.0,80.0,30.0,10.0,32.0,33.52610922848042,18.0,119.24999999999999,120.60083954931658,0.35046397817750113,1600.401512121255,1,0,0,0,0,0,0,1
2018-Indonesia_open-finals-1-2,6,3,00:07:39.100000,13772,B,,擋小球,,1.0,A2,285,211,2.0,,,9,6,,B1,299.0,518.0,2.0,0.0,368,-541,378,-541,368.0,-277.0,399.0,712.0,20.0,80.0,0.0,70.0,12.0,137.0,137.5245432641025,12.5,149.25,149.77253586689383,1.1491862338193928,10.0,0,0,0,1,0,1,0,0
2018-Indonesia_open-finals-1-2,6,4,00:07:39.800000,13795,A,,放小球,,,A1,299,518,2.0,,,9,6,,A1,261.0,418.0,2.0,1000.0,368,-277,399,712,320.0,7.0,328.0,56.0,10.0,90.0,60.0,40.0,17.25,22.25,28.15359657308458,23.499999999999996,28.499999999999996,36.93913913452776,0.13017104132640256,989.485725010725,0,1,0,0,0,0,1,0
